,birth year,locPoint
571,1985.0,POINT (-73.96525063 40.71044554)
575,1984.0,POINT (-73.96525063 40.71044554)
716,1972.0,POINT (-73.96525063 40.71044554)
773,1985.0,POINT (-73.96525063 40.71044554)
1092,1986.0,POINT (-73.96525063 40.71044554)
387,1984.0,POINT (-73.96024116 40.71534825)
403,1984.0,POINT (-73.96024116 40.71534825)
418,1985.0,POINT (-73.96024116 40.71534825)
718,1987.0,POINT (-73.96024116 40.71534825)
867,1983.0,POINT (-73.96024116 40.71534825)
579,1989.0,POINT (-73.95782357 40.72153267)
721,1990.0,POINT (-73.95782357 40.72153267)
1295,1979.0,POINT (-73.95782357 40.72153267)
618,1985.0,POINT (-73.96885458 40.68940747)
725,1976.0,POINT (-73.96885458 40.68940747)
1608,1971.0,POINT (-73.96885458 40.68940747)
731,1965.0,POINT (-73.979382 40.688226)
1775,1974.0,POINT (-73.979382 40.688226)
467,1979.0,POINT (-73.96319799999999 40.716887)
701,1987.0,POINT (-73.96319799999999 40.716887)
733,1985.0,POINT (-73.96319799999999 40.716887)
893,1983.0,POINT (-73.96319799999999 40.716887)
946,1985.0,POINT (-73.96319799999999 40.716887)
1664,1983.0,POINT (-73.96319799999999 40.716887)
1730,1979.0,POINT (-73.96319799999999 40.716887)
742,1982.0,POINT (-73.981013 40.689888)
1057,1982.0,POINT (-73.981013 40.689888)
1118,1990.0,POINT (-73.981013 40.689888)
758,1984.0,POINT (-73.94954908 40.69539817)
761,1984.0,POINT (-73.94954908 40.69539817)
1045,1985.0,POINT (-73.94954908 40.69539817)
1101,1989.0,POINT (-73.94954908 40.69539817)
758,1984.0,POINT (-73.94954908 40.69539817)
761,1984.0,POINT (-73.94954908 40.69539817)
1045,1985.0,POINT (-73.94954908 40.69539817)
1101,1989.0,POINT (-73.94954908 40.69539817)
471,1985.0,POINT (-73.95299117 40.72708584)
763,1979.0,POINT (-73.95299117 40.72708584)
1803,1976.0,POINT (-73.95299117 40.72708584)
586,1989.0,POINT (-73.97632328 40.68382604)
771,1983.0,POINT (-73.97632328 40.68382604)
120,1983.0,POINT (-73.96525063 40.71044554)
571,1985.0,POINT (-73.96525063 40.71044554)
575,1984.0,POINT (-73.96525063 40.71044554)
716,1972.0,POINT (-73.96525063 40.71044554)
773,1985.0,POINT (-73.96525063 40.71044554)
